Class_x,Confidence_x,OCR Text_x,Image,Class_y,Confidence_y,OCR Text_y,Class_x.1,Confidence_x.1,OCR Text_x.1,Class_y.1,Confidence_y.1,OCR Text_y.1,Class_x.2,Confidence_x.2,OCR Text_x.2,Class_y.2,Confidence_y.2,OCR Text_y.2,Class_x.3,Confidence_x.3,OCR Text_x.3,Class_y.3,Confidence_y.3,OCR Text_y.3,Class_x.4,Confidence_x.4,OCR Text_x.4,Class_y.4,Confidence_y.4,OCR Text_y.4,Class_x.5,Confidence_x.5,OCR Text_x.5,Class_y.5,Confidence_y.5,OCR Text_y.5,Class_x.6,Confidence_x.6,OCR Text_x.6,Class_y.6,Confidence_y.6,OCR Text_y.6,Class_x.7,Confidence_x.7,OCR Text_x.7,Class_y.7,Confidence_y.7,OCR Text_y.7,Class_x.8,Confidence_x.8,OCR Text_x.8,Class_y.8,Confidence_y.8,OCR Text_y.8,Class,Confidence,OCR Text
,,,./sample_images/IMG_6908.jpg,1 pH Meters,0.9999989,['3.18'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,./sample_images/IMG_6917.jpg,1 pH Meters,0.99999917,"['h5h', 'ON/OFF']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,./sample_images/IMG_6919.jpg,1 pH Meters,0.99999905,"['BLh', 'ON/OF']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,C:/users/tanuj/pictures/ogae\zetong-li-tr8pZ8Yf1ww-unsplash.jpg,,,,1 pH Meters,0.9954249,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,C:/users/tanuj/pictures/ogae\IMG_20230402_112456700.jpg,,,,,,,0 TDS/EC Meters,0.6897791,"['TDS&EC', 'meter(hold)', '5072', 'ppm', '30.8', 'ON/OFF', 'SHIFT', 'HOLD', 'KOAVIO']",0 TDS/EC Meters,0.6897791,"['TDS&EC', 'meter(hold)', '5072', 'ppm', '30.8', 'ON/OFF', 'SHIFT', 'HOLD', 'KOAVIO']",0 TDS/EC Meters,0.6897791,"['TDS&EC', 'meter(hold)', '5072', 'ppm', '30.8', 'ON/OFF', 'SHIFT', 'HOLD', 'KOAVIO']",0 TDS/EC Meters,0.6897791,"['TDS&EC', 'meter(hold)', '5072', 'ppm', '30.8', 'ON/OFF', 'SHIFT', 'HOLD', 'KOAVIO']",0 TDS/EC Meters,0.6897791,"['TDS&EC', 'meter(hold)', '5072', 'ppm', '30.8', 'ON/OFF', 'SHIFT', 'HOLD', 'KOAVIO']",0 TDS/EC Meters,0.6897791,"['TDS&EC', 'meter(hold)', '5072', 'ppm', '30.8', 'ON/OFF', 'SHIFT', 'HOLD', 'KOAVIO']",0 TDS/EC Meters,0.6897791,"['TDS&EC', 'meter(hold)', '5072', 'ppm', '30.8', 'ON/OFF', 'SHIFT', 'HOLD', 'KOAVIO']",0 TDS/EC Meters,0.6897791,"['TDS&EC', 'meter(hold)', '5072', 'ppm', '30.8', 'ON/OFF', 'SHIFT', 'HOLD', 'KOAVIO']",0 TDS/EC Meters,0.6897791,"['TDS&EC', 'meter(hold)', '5072', 'ppm', '30.8', 'ON/OFF', 'SHIFT', 'HOLD', 'KOAVIO']",0 TDS/EC Meters,0.6897791,"['TDS&EC', 'meter(hold)', '5072', 'ppm', '30.8', 'ON/OFF', 'SHIFT', 'HOLD', 'KOAVIO']",0 TDS/EC Meters,0.6897791,"['TDS&EC', 'meter(hold)', '5072', 'ppm', '30.8', 'ON/OFF', 'SHIFT', 'HOLD', 'KOAVIO']",0 TDS/EC Meters,0.6897791,"['TDS&EC', 'meter(hold)', '5072', 'ppm', '30.8', 'ON/OFF', 'SHIFT', 'HOLD', 'KOAVIO']",0 TDS/EC Meters,0.6897791,"['TDS&EC', 'meter(hold)', '5072', 'ppm', '30.8', 'ON/OFF', 'SHIFT', 'HOLD', 'KOAVIO']",0 TDS/EC Meters,0.6897791,"['TDS&EC', 'meter(hold)', '5072', 'ppm', '30.8', 'ON/OFF', 'SHIFT', 'HOLD', 'KOAVIO']",0 TDS/EC Meters,0.6897791,"['TDS&EC', 'meter(hold)', '5072', 'ppm', '30.8', 'ON/OFF', 'SHIFT', 'HOLD', 'KOAVIO']",0 TDS/EC Meters,0.6897791,"['TDS&EC', 'meter(hold)', '5072', 'ppm', '30.8', 'ON/OFF', 'SHIFT', 'HOLD', 'KOAVIO']"
,,,C:/users/tanuj/pictures/ogae\IMG_20230402_181946851.jpg,,,,,,,1 pH Meters,0.99636686,"['TDS&EC', 'meter(hold)', 'SHIF', 'ON/OFP']",1 pH Meters,0.99636686,"['TDS&EC', 'meter(hold)', 'SHIF', 'ON/OFP']",1 pH Meters,0.99636686,"['TDS&EC', 'meter(hold)', 'SHIF', 'ON/OFP']",1 pH Meters,0.99636686,"['TDS&EC', 'meter(hold)', 'SHIF', 'ON/OFP']",1 pH Meters,0.99636686,"['TDS&EC', 'meter(hold)', 'SHIF', 'ON/OFP']",1 pH Meters,0.99636686,"['TDS&EC', 'meter(hold)', 'SHIF', 'ON/OFP']",1 pH Meters,0.99636686,"['TDS&EC', 'meter(hold)', 'SHIF', 'ON/OFP']",1 pH Meters,0.99636686,"['TDS&EC', 'meter(hold)', 'SHIF', 'ON/OFP']",1 pH Meters,0.99636686,"['TDS&EC', 'meter(hold)', 'SHIF', 'ON/OFP']",1 pH Meters,0.99636686,"['TDS&EC', 'meter(hold)', 'SHIF', 'ON/OFP']",1 pH Meters,0.99636686,"['TDS&EC', 'meter(hold)', 'SHIF', 'ON/OFP']",1 pH Meters,0.99636686,"['TDS&EC', 'meter(hold)', 'SHIF', 'ON/OFP']",1 pH Meters,0.99636686,"['TDS&EC', 'meter(hold)', 'SHIF', 'ON/OFP']",1 pH Meters,0.99636686,"['TDS&EC', 'meter(hold)', 'SHIF', 'ON/OFP']",1 pH Meters,0.99636686,"['TDS&EC', 'meter(hold)', 'SHIF', 'ON/OFP']",1 pH Meters,0.99636686,"['TDS&EC', 'meter(hold)', 'SHIF', 'ON/OFP']"
,,,C:/users/tanuj/pictures/ogae\IMG_20230402_112456700.jpg_result.jpg,,,,,,,,,,,,,1 pH Meters,0.82978666,"['1:TDS&EC0.998', '2:meterhold0.982', '3:50720.924', '4ppm0.967', '5:30.80.942', '6:ON/OFF0.946', 'IDS&EC', '7:SHIFT0.996', '8:HOLD0.997', '9:KOAVIO0.902', '507', '30.8', '@@w', 'KonVIO!']",1 pH Meters,0.82978666,"['1:TDS&EC0.998', '2:meterhold0.982', '3:50720.924', '4ppm0.967', '5:30.80.942', '6:ON/OFF0.946', 'IDS&EC', '7:SHIFT0.996', '8:HOLD0.997', '9:KOAVIO0.902', '507', '30.8', '@@w', 'KonVIO!']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,C:/users/tanuj/pictures/ogae\IMG_20230402_181946851.jpg_result.jpg,,,,,,,,,,,,,1 pH Meters,0.9470442,"['1:TDS&EC0.997', '2:meter(hold)0.957', '3:SHIF0.998', 'paysar', '4:ON/OFP0.887']",1 pH Meters,0.9470442,"['1:TDS&EC0.997', '2:meter(hold)0.957', '3:SHIF0.998', 'paysar', '4:ON/OFP0.887']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,C:/users/tanuj/pictures/ogae\IMG_20230402_112456700.jpg_result.jpg_result.jpg,,,,,,,,,,,,,,,,0 TDS/EC Meters,0.5784837,"['TDS&EC0.99S', 'meter(hold)0.98', '1:1:TDS&EC0.9980.974', '3:50720.924', '2:2:meterhold0.9820.968', 'ppm0.96', '0.80.94', '3:350720.9240.966', 'ONOFF0.949', '4:4ppm0.9670.978', 'ASHFO99G', 'HOLD0.99', '55:30.80.9420.960', ':KOAVIO0.902', '000', '6:6ON/OFF0.9460.960', '7:IDS&EC0.879', '8:7SHIFTO.9960.971', '9:8HOLD0.9970.954', '10:9:KOAVIO0.9020.967', 'KORVIC', '11:5070.875', '12:30.80.871', '13:@@w0.501', '14:KonVIO!0.672']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,C:/users/tanuj/pictures/ogae\IMG_20230402_181946851.jpg_result.jpg_result.jpg,,,,,,,,,,,,,,,,1 pH Meters,0.8842893,"['TDS&EC0.997', 'meter(hold)0.957', '1:1:TDS&EC0.9970.970', 'SHIF0.998', 'ON/OFP0.8', '2:2meter(hold0.9570.948', '3:3:SHIF0.9980.963', '4:paysar 0.732', '5:4:ON/OFP0.887', '0.970']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
